trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1050,False,"{'a': 0.002, 'e': 0.12245642825298192}",25,3,16.369287782762658,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
1051,False,"{'a': 0.002, 'e': 0.12221176014613885}",20,12,13.939798871859605,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1052,False,"{'a': 0.002, 'e': 0.12196758088649927}",30,7,24.21593346087582,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 0}",1
1053,False,"{'a': 0.002, 'e': 0.1217238894973459}",20,1,30.545234192127108,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1054,False,"{'a': 0.002, 'e': 0.12148068500391278}",25,13,22.420267807516314,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1055,False,"{'a': 0.002, 'e': 0.1212379664333817}",25,18,9.504556139756973,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
1056,False,"{'a': 0.002, 'e': 0.12099573281487794}",35,21,11.381365987060777,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1057,False,"{'a': 0.002, 'e': 0.12075398317946683}",30,22,15.062572451496234,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1058,False,"{'a': 0.002, 'e': 0.12051271656014939}",20,16,5.076732061785062,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1059,False,"{'a': 0.002, 'e': 0.12027193199185893}",25,9,6.79504759982739,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
1060,False,"{'a': 0.002, 'e': 0.12003162851145674}",25,3,27.04055583217508,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
1061,False,"{'a': 0.002, 'e': 0.11979180515772869}",20,0,20.82091873052714,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1062,False,"{'a': 0.002, 'e': 0.11955246097138095}",25,15,10.559446372489102,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
1063,False,"{'a': 0.002, 'e': 0.11931359499503653}",25,2,27.00587295554384,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
1064,False,"{'a': 0.002, 'e': 0.11907520627323115}",20,5,12.029507740898241,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1065,False,"{'a': 0.002, 'e': 0.11883729385240967}",25,17,16.07297731426841,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1066,False,"{'a': 0.002, 'e': 0.118599856780922}",30,21,16.043652132103016,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1067,False,"{'a': 0.002, 'e': 0.11836289410901964}",20,12,12.799561499370682,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1068,False,"{'a': 0.002, 'e': 0.11812640488885147}",25,15,8.212189462316424,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1069,False,"{'a': 0.002, 'e': 0.11789038817446042}",25,15,16.279282359793967,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1070,False,"{'a': 0.002, 'e': 0.1176548430217792}",20,2,25.179510548323915,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
